Parent,Child
1,2
2,2
2,2
2,2
2,2
2,2
2,3
3,4
4,5
5,5
5,5
5,5
5,5
5,5
5,6
6,6
6,6
6,7
7,7
7,7
7,7
7,7
7,7
7,8
8,8
8,8
8,9
9,10
10,11
11,11
11,11
11,11
11,11
11,11
11,12
12,13
13,14
14,15
15,15
15,15
15,16
16,17
17,18
18,18
18,18
18,19
19,19
19,19
19,20
20,21
21,22
22,23
23,23
23,23
23,24
24,24
24,24
24,24
24,24
24,24
24,25
25,25
25,25
25,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,27
27,27
27,27
27,28
28,29
29,29
29,29
29,29
29,29
29,29
29,30
30,30
30,30
30,30
30,30
30,30
30,30
30,30
30,30
30,30
30,31
31,31
31,31
31,31
31,31
31,31
31,32
32,33
33,33
33,33
33,34
34,34
34,34
34,35
35,35
35,35
35,35
35,35
35,35
35,36
36,37
37,37
37,37
37,38
38,39
39,40
40,40
40,40
40,40
40,40
40,40
40,41
41,41
41,41
41,41
41,41
41,41
41,42
42,42
42,42
42,43
43,44
44,44
44,44
44,45
45,45
45,45
45,45
45,45
45,45
45,46
46,47
47,48
48,49
49,50
50,50
50,50
50,50
50,50
50,50
50,51
51,52
52,53
53,53
53,53
53,53
53,53
53,53
53,54
54,55
55,55
55,55
55,56
56,57
57,58
58,59
59,60
60,60
60,60
60,60
60,60
60,60
60,61
61,61
61,61
61,62
62,62
62,62
62,63
63,63
63,63
63,63
63,63
63,63
63,64
64,64
64,64
64,64
64,64
64,64
64,65
65,66
66,66
66,66
66,66
66,66
66,66
66,67
67,67
67,67
67,68
68,68
68,68
68,68
68,68
68,68
68,69
69,70
70,70
70,70
70,71
71,72
72,72
72,72
72,73
73,73
73,73
73,74
74,75
75,76
76,76
76,76
76,77
77,78
78,79
79,80
80,81
81,81
81,81
81,81
81,81
81,81
81,81
81,81
81,81
81,81
81,82
83,84
85,86
87,88
89,90
91,92
93,94
95,96
97,98
99,100
101,102
103,104
105,106
107,108
109,110
111,112
113,114
115,116
117,118
119,120
121,122
123,124
125,126
127,128
129,130
131,132
133,134
135,136
137,138
139,140
141,142
143,144
145,146
147,148
149,150
151,152
153,154
155,1
2,2
2,2
4,4
4,4
5,5
5,5
3,3
6,6
7,7
7,7
8,8
8,8
9,9
9,9
10,10
10,11
11,11
17,17
17,17
20,20
20,20
21,21
21,21
19,19
19,31
31,31
13,13
12,12
14,14
14,14
15,15
15,15
16,16
16,16
24,24
22,22
18,18
26,26
26,23
23,23
25,25
29,29
32,32
32,46
46,46
27,27
27,39
39,39
28,28
30,30
79,79
34,34
34,33
33,33
48,48
48,48
41,41
41,41
35,35
35,35
36,36
36,127
127,127
37,37
37,37
37,37
37,37
37,37
37,37
38,38
38,38
38,38
38,38
38,38
38,38
80,80
80,80
80,80
80,80
80,80
80,80
58,58
58,58
58,58
58,58
58,58
58,58
90,90
90,90
90,90
90,90
90,90
90,90
83,83
83,83
83,83
83,83
83,83
83,83
126,126
126,126
126,126
126,126
126,126
126,126
53,53
53,53
53,53
53,53
53,53
53,53
54,54
54,54
54,54
54,54
54,54
54,54
120,120
120,120
120,120
120,120
120,120
120,120
47,47
47,47
47,47
47,47
47,47
47,47
56,56
56,77
77,77
43,43
40,40
40,40
71,71
71,71
66,66
66,66
44,44
44,44
44,42
42,42
42,42
60,60
60,60
60,45
45,45
45,45
61,61
61,61
96,96
96,96
98,98
98,98
50,50
55,55
55,49
49,49
52,52
52,68
68,68
51,51
51,51
67,67
67,67
129,129
129,129
92,92
103,103
103,73
73,73
62,62
81,81
57,57
57,57
72,72
72,72
63,63
63,63
78,78
78,78
75,75
75,75
99,99
99,99
87,87
87,69
69,69
59,59
143,143
143,65
65,65
64,64
64,64
84,84
84,84
70,70
70,70
109,109
74,74
130,130
97,97
76,76
76,76
82,82
82,82
95,95
95,95
89,89
107,107
86,86
86,86
91,91
91,91
108,108
108,108
88,88
118,118
118,85
85,85
144,144
100,100
145,145
94,94
93,93
93,93
105,105
105,105
136,136
136,136
125,125
125,114
114,114
113,113
113,121
121,121
101,101
101,101
104,104
104,104
139,139
139,139
128,128
128,128
123,123
123,123
102,102
102,102
106,106
112,112
112,112
119,119
119,119
116,116
116,116
111,111
111,151
151,151
117,117
117,117
131,131
131,131
132,132
132,132
110,110
137,137
137,115
115,115
122,122
140,140
140,146
146,146
149,149
149,135
135,135
124,124
138,138
152,152
152,142
142,142
133,133
134,134
141,141
153,153
150,150
150,150
150,147
147,147
147,147
148,148
148,148
148,154
154,154
154,154
