Parent,Child
1,2
2,3
3,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,5
5,5
5,5
5,6
6,7
7,7
7,7
7,8
8,9
9,10
10,11
11,12
12,12
12,12
12,12
12,12
12,12
12,12
12,12
12,12
12,12
12,12
12,12
12,12
12,12
12,12
12,13
13,13
13,13
13,14
14,14
14,14
14,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,16
16,16
16,16
16,17
17,17
17,17
17,18
18,19
19,20
20,20
20,20
20,21
21,22
22,23
23,23
23,23
23,23
23,23
23,23
23,24
24,24
24,24
24,25
25,26
26,27
27,27
27,27
27,28
28,29
29,30
30,31
31,31
31,31
31,32
32,33
33,34
34,34
34,34
34,35
35,36
36,36
36,36
36,37
37,37
37,37
37,38
38,38
38,38
38,38
38,38
38,38
38,38
38,38
38,38
38,38
38,39
39,40
40,40
40,40
40,41
41,42
42,43
43,43
43,43
43,43
43,43
43,43
43,43
43,43
43,43
43,43
43,43
43,43
43,43
43,43
43,43
43,43
43,43
43,43
43,43
43,43
43,43
43,44
44,44
44,44
44,44
44,44
44,44
44,45
45,45
45,45
45,46
46,46
46,46
46,47
47,48
48,48
48,48
48,49
49,49
49,49
49,50
50,51
51,52
52,53
53,53
53,53
53,54
54,55
55,56
56,56
56,56
56,56
56,56
56,56
56,56
56,56
56,56
56,56
56,57
57,57
57,57
57,57
57,57
57,57
57,57
57,57
57,57
57,57
57,57
57,57
57,57
57,57
57,57
57,58
58,59
59,60
60,61
61,61
61,61
61,62
62,62
62,62
62,62
62,62
62,62
62,62
62,62
62,62
62,62
62,63
63,64
64,65
65,66
66,66
66,66
66,67
68,69
70,71
72,73
74,75
76,77
78,79
80,81
82,83
84,85
86,87
88,89
90,91
92,93
94,95
96,97
98,99
100,101
102,103
104,105
106,107
108,109
110,111
112,113
114,115
116,117
118,119
120,121
122,123
124,125
126,127
128,129
130,131
132,133
134,1
2,2
3,3
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,31
31,31
31,31
31,31
31,31
31,31
31,31
31,31
31,31
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
23,23
23,23
23,23
23,23
23,23
23,23
23,23
23,23
23,39
39,39
39,39
39,39
39,39
39,39
39,39
39,39
39,39
12,12
12,12
12,12
12,12
12,12
12,12
12,12
12,12
12,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
44,44
44,44
44,44
44,44
44,44
44,44
44,44
44,44
44,16
16,16
16,16
16,16
16,16
16,16
16,16
16,16
16,16
34,34
34,34
34,34
34,34
34,34
34,34
34,34
34,34
34,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
26,26
46,46
46,46
46,46
46,46
46,46
46,46
46,46
46,46
46,47
47,47
47,47
47,47
47,47
47,47
47,47
47,47
47,47
5,5
5,20
20,20
15,15
29,29
29,25
25,25
10,10
11,11
17,17
14,14
18,18
18,18
18,18
69,69
69,69
69,69
22,22
22,22
22,22
19,19
19,19
19,19
57,57
57,57
57,57
24,24
24,21
21,21
27,27
27,37
37,37
32,32
32,32
32,32
32,51
51,51
51,51
51,51
33,33
33,33
33,33
33,30
30,30
30,30
30,30
59,59
59,59
59,59
59,45
45,45
45,45
45,45
28,28
28,41
41,41
36,36
36,43
43,43
50,50
60,60
40,40
40,35
35,35
48,48
42,42
65,65
65,65
56,56
56,56
38,38
38,38
49,49
49,53
53,53
54,54
63,63
66,66
66,52
52,52
58,58
55,55
68,68
64,64
64,61
61,61
72,72
62,62
67,67
67,70
70,70
71,71
73,73
73,80
80,80
74,74
74,79
79,79
77,77
77,77
77,99
99,99
99,99
75,75
75,75
75,76
76,76
76,76
78,78
81,81
81,82
82,82
112,112
83,83
88,88
88,88
88,88
88,90
90,90
90,90
90,90
87,87
87,87
87,87
87,102
102,102
102,102
102,102
95,95
95,95
95,95
95,86
86,86
86,86
86,86
84,84
84,84
89,89
89,89
93,93
93,93
91,91
91,85
85,85
92,92
92,114
114,114
100,100
96,96
96,104
104,104
94,94
94,98
98,98
108,108
103,103
97,97
111,111
111,101
101,101
105,105
106,106
113,113
113,113
113,120
120,120
120,120
117,117
117,117
117,109
109,109
109,109
124,124
124,124
124,124
122,122
122,122
122,122
107,107
107,107
107,107
110,110
110,110
110,110
115,115
115,115
115,115
126,126
116,116
118,118
123,123
123,127
127,127
119,119
119,119
119,121
121,121
121,121
129,129
129,129
129,130
130,130
130,130
125,125
128,128
131,131
132,132
132,133
133,133
