Parent,Child
1,2
2,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,5
5,6
6,6
6,6
6,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,8
8,8
8,8
8,8
8,8
8,8
8,9
9,10
10,11
11,12
12,12
12,12
12,13
13,14
14,15
15,16
16,17
17,17
17,17
17,18
18,19
19,20
20,20
20,20
20,20
20,20
20,20
20,20
20,20
20,20
20,20
20,20
20,20
20,20
20,20
20,20
20,20
20,20
20,20
20,20
20,20
20,20
20,21
21,21
21,21
21,21
21,21
21,21
21,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,22
22,23
23,24
24,25
25,25
25,25
25,26
26,27
27,28
28,28
28,28
28,29
29,29
29,29
29,30
30,31
31,32
32,33
33,34
34,34
34,34
34,34
34,34
34,34
34,34
34,34
34,34
34,34
34,35
35,36
36,36
36,36
36,36
36,36
36,36
36,36
36,36
36,36
36,36
36,36
36,36
36,36
36,36
36,36
36,37
37,37
37,37
37,37
37,37
37,37
37,37
37,37
37,37
37,37
37,38
38,38
38,38
38,39
39,39
39,39
39,39
39,39
39,39
39,39
39,39
39,39
39,39
39,39
39,39
39,39
39,39
39,39
39,39
39,39
39,39
39,39
39,39
39,39
39,39
39,39
39,39
39,39
39,39
39,39
39,39
39,39
39,39
39,39
39,39
39,39
39,39
39,39
39,39
39,40
40,40
40,40
40,40
40,40
40,40
40,40
40,40
40,40
40,40
40,41
41,41
41,41
41,42
42,42
42,42
42,43
43,43
43,43
43,43
43,43
43,43
43,43
43,43
43,43
43,43
43,44
44,44
44,44
44,45
45,46
46,46
46,46
46,46
46,46
46,46
46,47
47,48
48,49
49,49
49,49
49,49
49,49
49,49
49,50
50,50
50,50
50,50
50,50
50,50
50,50
50,50
50,50
50,50
50,50
50,50
50,50
50,50
50,50
50,51
51,51
51,51
51,51
51,51
51,51
51,51
51,51
51,51
51,51
51,52
52,52
52,52
52,52
52,52
52,52
52,52
52,52
52,52
52,52
52,52
52,52
52,52
52,52
52,52
52,53
53,54
54,55
55,55
55,55
55,55
55,55
55,55
55,55
55,55
55,55
55,55
55,56
56,56
56,56
56,56
56,56
56,56
56,57
57,58
58,59
59,60
60,61
61,61
61,61
61,62
62,62
62,62
62,63
63,64
64,65
65,66
66,67
67,68
68,68
68,68
68,69
69,69
69,69
69,69
69,69
69,69
69,70
70,70
70,70
70,71
71,72
72,72
72,72
72,72
72,72
72,72
72,72
72,72
72,72
72,72
72,73
73,74
74,75
75,76
76,77
77,78
78,78
78,78
78,79
79,79
79,79
79,79
79,79
79,79
79,79
79,79
79,79
79,79
79,80
80,81
82,83
84,85
86,87
88,89
90,91
92,93
94,95
96,97
98,99
100,101
102,103
104,105
106,107
108,109
110,111
112,113
114,115
116,117
118,119
120,121
122,123
124,125
126,127
128,129
130,131
132,133
134,135
136,137
138,139
140,141
142,143
144,145
146,147
148,149
150,151
152,153
154,155
156,157
158,159
160,161
162,163
164,165
166,167
168,169
170,171
172,1
2,2
3,3
3,3
3,3
4,4
4,4
4,4
6,6
6,6
6,6
32,32
32,32
32,32
27,27
27,27
27,27
5,5
5,5
5,5
8,8
8,8
8,8
9,9
9,9
9,9
33,33
33,33
33,33
14,14
14,14
14,14
11,11
7,7
7,13
13,13
10,10
10,10
10,10
19,19
19,19
19,19
21,21
21,21
21,21
18,18
18,18
18,18
20,20
20,20
20,20
22,22
22,22
15,15
15,15
26,26
26,26
49,49
16,16
12,12
23,23
23,28
28,28
17,17
24,24
29,29
42,42
25,25
25,60
60,60
59,59
30,30
31,31
31,31
31,31
31,35
35,35
35,35
35,35
37,37
37,37
37,37
37,51
51,51
51,51
51,51
34,34
34,34
34,34
34,50
50,50
50,50
50,50
36,36
36,36
40,40
40,40
52,52
52,52
41,41
41,41
41,41
48,48
48,48
48,48
55,55
55,55
55,55
38,38
38,38
38,38
39,39
39,39
39,39
64,64
44,44
45,45
45,43
43,43
46,46
57,57
58,58
58,47
47,47
53,53
53,54
54,54
56,56
61,61
62,62
63,63
66,66
66,66
66,102
102,102
102,102
87,87
87,87
87,144
144,144
144,144
65,65
67,67
67,67
67,67
69,69
69,69
69,69
68,68
68,68
68,68
107,107
107,107
107,107
76,76
76,76
76,76
71,71
71,71
71,74
74,74
74,74
106,106
106,106
106,70
70,70
70,70
100,100
100,114
114,114
75,75
75,75
75,75
75,75
75,72
72,72
72,72
72,72
72,72
73,73
73,73
73,73
73,73
73,95
95,95
95,95
95,95
95,95
77,77
77,77
77,77
77,77
77,169
169,169
169,169
169,169
169,169
94,94
94,94
94,94
94,94
94,89
89,89
89,89
89,89
89,89
82,82
82,82
82,110
110,110
110,110
115,115
115,115
115,101
101,101
101,101
78,78
78,91
91,91
148,148
148,132
132,132
84,84
84,84
84,80
80,80
80,80
105,105
105,105
105,152
152,152
152,152
111,111
111,125
125,125
79,79
81,81
81,81
92,92
92,92
88,88
88,88
83,83
158,158
117,117
117,117
159,159
159,159
143,143
143,143
109,109
109,109
109,109
108,108
108,108
108,108
99,99
99,99
99,99
90,90
90,90
90,90
124,124
124,124
124,124
98,98
98,98
98,85
85,85
85,85
123,123
123,123
123,86
86,86
86,86
96,96
96,96
96,96
126,126
126,126
126,126
130,130
130,130
130,130
127,127
127,127
127,127
120,120
120,120
120,120
93,93
104,104
112,112
112,112
112,97
97,97
97,97
116,116
116,116
116,133
133,133
133,133
136,136
136,136
122,122
122,122
134,134
134,134
138,138
103,103
128,128
113,113
153,153
153,147
147,147
131,131
131,118
118,118
163,163
151,151
119,119
121,121
129,129
171,171
171,135
135,135
170,170
170,170
145,145
145,145
140,140
140,140
142,142
142,150
150,150
139,139
137,137
137,137
137,168
168,168
168,168
141,141
141,141
141,154
154,154
154,154
166,166
146,146
149,149
157,157
155,155
156,156
156,162
162,162
160,160
160,160
160,161
161,161
161,161
164,164
164,164
164,165
165,165
165,165
167,167
