Parent,Child
1,2
2,3
3,3
3,3
3,3
3,3
3,3
3,4
4,5
5,5
5,5
5,5
5,5
5,5
5,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,7
7,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,9
9,9
9,9
9,10
10,11
11,11
11,11
11,12
12,13
13,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,16
16,16
16,16
16,16
16,16
16,16
16,17
17,18
18,18
18,18
18,19
19,20
20,20
20,20
20,20
20,20
20,20
20,21
21,21
21,21
21,22
22,22
22,22
22,23
23,23
23,23
23,24
24,24
24,24
24,24
24,24
24,24
24,24
24,24
24,24
24,24
24,24
24,24
24,24
24,24
24,24
24,24
24,24
24,24
24,24
24,24
24,24
24,25
25,26
26,26
26,26
26,27
27,27
27,27
27,28
28,28
28,28
28,28
28,28
28,28
28,29
29,29
29,29
29,30
30,30
30,30
30,30
30,30
30,30
30,30
30,30
30,30
30,30
30,30
30,30
30,30
30,30
30,30
30,30
30,30
30,30
30,30
30,30
30,30
30,31
31,31
31,31
31,31
31,31
31,31
31,31
31,31
31,31
31,31
31,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,32
32,33
33,34
34,34
34,34
34,35
35,35
35,35
35,36
36,37
37,38
38,38
38,38
38,39
39,39
39,39
39,39
39,39
39,39
39,40
40,41
41,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,42
42,43
43,44
44,45
45,46
46,47
47,48
48,49
49,50
50,51
51,52
52,52
52,52
52,52
52,52
52,52
52,53
53,54
54,54
54,54
54,55
55,56
56,56
56,56
56,57
57,58
58,58
58,58
58,58
58,58
58,58
58,59
59,59
59,59
59,60
60,60
60,60
60,61
61,62
62,63
63,64
64,65
65,66
66,67
67,68
68,68
68,68
68,68
68,68
68,68
68,68
68,68
68,68
68,68
68,69
69,69
69,69
69,70
70,70
70,70
70,70
70,70
70,70
70,71
71,72
72,73
73,74
74,75
75,75
75,75
75,75
75,75
75,75
75,75
75,75
75,75
75,75
75,75
75,75
75,75
75,75
75,75
75,75
75,75
75,75
75,75
75,75
75,75
75,76
76,77
77,77
77,77
77,77
77,77
77,77
77,77
77,77
77,77
77,77
77,77
77,77
77,77
77,77
77,77
77,78
78,79
79,80
80,81
81,81
81,81
81,82
82,83
83,83
83,83
83,83
83,83
83,83
83,84
84,84
84,84
84,84
84,84
84,84
84,84
84,84
84,84
84,84
84,85
85,85
85,85
85,85
85,85
85,85
85,86
86,86
86,86
86,86
86,86
86,86
86,86
86,86
86,86
86,86
86,86
86,86
86,86
86,86
86,86
86,86
86,86
86,86
86,86
86,86
86,86
86,87
87,87
87,87
87,88
88,88
88,88
88,88
88,88
88,88
88,89
89,90
90,91
91,92
92,93
93,94
94,94
94,94
94,94
94,94
94,94
94,94
94,94
94,94
94,94
94,95
95,95
95,95
95,96
96,96
96,96
96,97
97,98
98,98
98,98
98,99
99,100
100,100
100,100
100,100
100,100
100,100
100,101
101,102
102,103
103,104
104,105
106,107
108,109
110,111
112,113
114,115
116,117
118,119
120,121
122,123
124,125
126,127
128,129
130,131
132,133
134,135
136,137
138,139
140,141
142,143
144,145
146,147
148,149
150,151
152,153
154,155
156,157
158,159
160,161
162,163
164,165
166,167
168,169
170,171
172,173
174,175
176,177
178,179
180,181
182,183
184,185
186,187
188,189
190,191
192,193
194,195
196,197
198,199
200,201
202,203
204,205
206,207
208,209
210,211
212,213
214,215
216,217
218,219
220,221
222,223
224,1
2,2
3,3
3,3
4,4
4,4
8,8
8,8
62,62
5,5
5,5
6,6
6,6
18,18
18,18
7,7
7,7
7,7
7,7
34,34
34,34
34,34
34,34
27,27
27,27
27,27
27,27
12,12
12,12
12,12
12,12
10,10
10,10
10,10
10,10
20,20
20,20
20,20
20,20
14,14
14,14
14,14
14,14
9,9
11,11
11,11
11,11
11,11
11,11
13,13
13,13
13,13
13,13
13,13
28,28
28,28
28,28
28,28
28,28
16,16
16,16
16,16
16,16
16,16
17,17
17,17
17,17
17,17
17,17
35,35
35,35
35,35
35,35
35,35
19,19
19,19
19,19
19,19
19,19
43,43
43,43
43,43
43,43
43,43
21,21
21,21
21,21
21,21
21,21
22,22
22,47
47,47
15,15
82,82
82,68
68,68
78,78
39,39
31,31
31,31
31,26
26,26
26,26
29,29
29,29
29,51
51,51
51,51
37,37
37,37
37,37
37,37
24,24
24,24
24,24
24,24
54,54
54,54
54,54
54,54
48,48
48,48
48,48
48,48
23,23
23,23
23,23
23,23
124,124
124,124
124,124
124,124
30,30
30,30
30,30
30,30
25,25
25,25
38,38
38,38
33,33
33,33
96,96
32,32
32,91
91,91
53,53
42,42
42,42
36,36
36,36
40,40
40,40
74,74
74,41
41,41
117,117
117,46
46,46
44,44
44,81
81,81
84,84
84,84
84,84
84,49
49,49
49,49
49,49
50,50
50,50
50,50
50,64
64,64
64,64
64,64
45,45
45,45
45,45
45,80
80,80
80,80
80,80
52,52
66,66
66,67
67,67
55,55
55,61
61,61
56,56
56,56
60,60
60,60
59,59
59,59
156,156
156,57
57,57
75,75
75,75
75,75
75,70
70,70
70,70
70,70
58,58
58,58
58,58
58,65
65,65
65,65
65,65
63,63
63,63
63,63
63,71
71,71
71,71
71,71
88,88
88,88
88,86
86,86
86,86
85,85
85,85
85,104
104,104
104,104
99,99
99,99
99,99
99,99
99,101
101,101
101,101
101,101
101,101
98,98
98,98
98,98
98,98
98,132
132,132
132,132
132,132
132,132
97,97
97,97
97,97
97,97
97,79
79,79
79,79
79,79
79,79
115,115
115,115
115,115
115,115
115,93
93,93
93,93
93,93
93,93
95,95
72,72
72,69
69,69
114,114
114,90
90,90
108,108
83,83
105,105
105,92
92,92
119,119
119,119
73,73
73,73
126,126
126,126
76,76
112,112
109,109
109,109
109,109
109,77
77,77
77,77
77,77
102,102
102,102
102,102
102,146
146,146
146,146
146,146
147,147
147,147
147,147
147,125
125,125
125,125
125,125
113,113
100,100
89,89
87,87
129,129
94,94
121,121
158,158
123,123
155,155
155,155
107,107
107,107
191,191
191,191
103,103
110,110
110,111
111,111
106,106
116,116
116,120
120,120
138,138
163,163
163,163
118,118
118,118
136,136
136,136
135,135
135,152
152,152
149,149
149,137
137,137
122,122
150,150
128,128
127,127
130,130
201,201
131,131
134,134
134,134
134,143
143,143
143,143
142,142
142,142
142,133
133,133
133,133
206,206
206,177
177,177
139,139
139,139
205,205
205,205
202,202
202,202
140,140
179,179
141,141
186,186
144,144
144,144
144,144
144,153
153,153
153,153
153,153
222,222
222,222
222,222
