Parent,Child
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,60
60,61
61,61
61,61
61,61
61,61
61,61
61,61
61,61
61,61
61,61
61,62
62,63
63,63
63,63
63,63
63,63
63,63
63,64
64,64
64,64
64,65
65,65
65,65
65,65
65,65
65,65
65,65
65,65
65,65
65,65
65,65
65,65
65,65
65,65
65,65
65,66
66,66
66,66
66,67
67,67
67,67
67,67
67,67
67,67
67,67
67,67
67,67
67,67
67,67
67,67
67,67
67,67
67,67
67,67
67,67
67,67
67,67
67,67
67,67
67,68
68,69
69,69
69,69
69,70
70,71
71,71
71,71
71,72
72,72
72,72
72,73
73,74
74,74
74,74
74,75
75,75
75,75
75,75
75,75
75,75
75,76
76,77
77,78
78,79
79,79
79,79
79,79
79,79
79,79
79,80
80,81
81,82
82,83
83,83
83,83
83,83
83,83
83,83
83,84
84,85
85,85
85,85
85,85
85,85
85,85
85,86
86,86
86,86
86,87
87,88
88,89
90,91
92,93
94,95
96,97
98,99
100,101
102,103
104,105
106,107
108,109
110,111
112,113
114,115
116,117
118,119
120,121
122,123
124,125
126,127
128,129
130,131
132,133
134,135
136,137
138,139
140,141
142,143
144,145
146,147
148,149
150,151
152,153
154,155
156,157
158,159
160,161
162,163
164,165
166,167
168,169
170,171
172,173
174,175
176,177
178,179
180,181
182,183
184,185
186,187
188,189
1,2
2,2
2,3
3,3
3,5
5,5
5,85
85,4
4,4
4,4
6,6
6,6
6,24
24,24
24,24
99,99
99,99
99,92
92,7
7,8
8,8
8,9
9,9
9,10
10,10
10,23
23,23
18,18
18,12
12,12
12,12
12,12
13,13
13,13
13,13
13,35
35,35
35,35
35,35
29,29
29,29
29,29
29,38
38,38
38,38
38,38
11,11
11,11
11,11
11,30
30,14
14,14
14,14
14,14
15,15
15,15
15,15
15,17
17,17
17,17
17,17
46,46
46,46
46,46
46,34
34,34
34,34
34,34
19,19
19,19
19,19
19,57
57,57
57,57
22,22
22,22
22,45
45,45
45,45
16,16
16,16
16,31
31,20
20,21
21,21
36,36
36,51
51,51
48,48
48,27
27,27
27,32
